[7l----total-cpu-usage---- ------memory-usage----- ---load-avg--- -dsk/total- ----system----
usr sys idl wai hiq siq| used  buff  cach  free| 1m   5m  15m | read  writ|  date/time   
  4   2  93   2   0   0| 373M 20.7M 2306M 1259M|0.07 0.08 0.06| 713k 1909k|04-06 16:59:09
  4  12  69  15   0   0| 339M 1376k 21.7M 3596M|0.07 0.08 0.06|3424k    0 |04-06 16:59:10
  1   2  59  39   0   0| 345M 3876k 31.2M 3579M|0.07 0.08 0.06|  23M    0 |04-06 16:59:11
  3   2  65  29   0   0| 347M 4680k 35.5M 3571M|0.07 0.08 0.06|  11M  464k|04-06 16:59:12
  7   2  72  19   0   0| 355M 5236k 40.8M 3558M|0.07 0.08 0.06|  12M    0 |04-06 16:59:13
 10   2  70  19   0   0| 366M 5984k 44.9M 3542M|0.14 0.10 0.07|9488k    0 |04-06 16:59:14
  4   2  81  13   0   0| 374M 6400k 47.7M 3531M|0.14 0.10 0.07|5776k  776k|04-06 16:59:15
  9   2  62  27   0   0| 383M 6624k 51.0M 3518M|0.14 0.10 0.07|7200k    0 |04-06 16:59:16
 24   3  60  13   0   0| 412M 6864k 53.6M 3487M|0.14 0.10 0.07|5960k    0 |04-06 16:59:17
 49   3  43   6   0   0| 426M 6864k 54.9M 3471M|0.14 0.10 0.07|2544k    0 |04-06 16:59:18
 37   2  44  18   0   0| 437M 7264k 55.9M 3459M|0.29 0.13 0.08|2760k 8192B|04-06 16:59:19
 40   3  35  22   0   0| 449M 7608k 57.6M 3445M|0.29 0.13 0.08|3736k 1312k|04-06 16:59:20
 46   4  30  20   0   0| 478M 8632k 59.1M 3414M|0.29 0.13 0.08|5536k 8192B|04-06 16:59:21
 21   2  57  19   0   0| 481M 10.0M 69.1M 3399M|0.29 0.13 0.08|  23M    0 |04-06 16:59:22
 23   2  56  19   0   0| 484M 10.7M 76.1M 3388M|0.29 0.13 0.08|  15M    0 |04-06 16:59:23
 27   2  47  23   0   0| 498M 11.3M 85.2M 3365M|0.51 0.18 0.09|  19M    0 |04-06 16:59:24
 11   3  58  27   0   0| 492M 11.7M 99.1M 3356M|0.51 0.18 0.09|  29M  360k|04-06 16:59:25
 24   4  56  16   0   0| 463M 11.7M  108M 3377M|0.51 0.18 0.09|  17M    0 |04-06 16:59:26
 54   3  36   7   0   0| 469M 11.8M  109M 3368M|0.51 0.18 0.09|3280k    0 |04-06 16:59:27
 45   4  41  11   0   0| 485M 12.1M  111M 3350M|0.51 0.18 0.09|4240k    0 |04-06 16:59:28
 29   2  45  25   0   0| 488M 12.2M  112M 3346M|0.63 0.21 0.10|1752k  392k|04-06 16:59:29
 51   5  27  16   0   0| 510M 12.6M  113M 3323M|0.63 0.21 0.10|3488k 1416k|04-06 16:59:30
 68   4  19   9   0   0| 529M 12.6M  114M 3303M|0.63 0.21 0.10|1128k    0 |04-06 16:59:31
 53   8  33   5   0   0| 369M 12.8M  116M 3461M|0.63 0.21 0.10|3072k    0 |04-06 16:59:32
  5   3  73  19   0   0| 383M 12.8M  127M 3436M|0.63 0.21 0.10|  23M    0 |04-06 16:59:33
 46   7  38   9   0   0| 572M 13.8M  128M 3245M|0.74 0.24 0.11|1072k   32k|04-06 16:59:34
 94   5   1   0   0   0| 769M 13.8M  128M 3048M|0.74 0.24 0.11|   0  4144k|04-06 16:59:35
 88   7   5   0   0   0| 908M 13.8M  131M 2905M|0.74 0.24 0.11|   0     0 |04-06 16:59:36
 97   3   0   0   0   0| 981M 13.8M  132M 2832M|0.74 0.24 0.11|  16k    0 |04-06 16:59:37
 95   4   1   0   0   0|1020M 13.8M  135M 2790M|0.74 0.24 0.11|  24k    0 |04-06 16:59:38
 92   8   1   0   0   0|1047M 13.8M  146M 2752M|1.64 0.43 0.18|8192B   16k|04-06 16:59:39
 97   2   1   0   0   0|1048M 13.8M  149M 2748M|1.64 0.43 0.18|8192B 6368k|04-06 16:59:40
 93   6   1   0   0   0|1048M 13.8M  162M 2735M|1.64 0.43 0.18|   0    22M|04-06 16:59:41
